date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:14	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:14%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/chart.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/chart.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:14	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:14%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/chart-pie.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/chart-pie.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:14	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:15%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/clock.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/clock.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:15	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:15%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/control.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/control.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:15	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:16%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/fire.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/fire.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:15	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:16%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/heart.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/heart.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:15	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:16%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/mail.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/mail.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:16	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:17%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/plus-shield.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/plus-shield.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:16	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:17%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/video.png	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/images/icons/video.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:17	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:18%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/fonts/vc_grid/vc_grid_v1.eot?-9hbgac	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/fonts/vc_grid/vc_grid_v157a1.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
14:08:17	903/903	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2010%20May%202023%2020:08:18%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/fonts/vc_grid/vc_grid_v1.eot?	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/fonts/vc_grid/vc_grid_v1d41d.html	(from https://www.portotheme.com/wordpress/porto/shop1/wp-content/uploads/sites/77/porto_styles/js_composer.css)
